directed_pair_id,score
A0A063X754|A0A063XCP1:forward,0.999889
A0A063X754|A0A063XCP1:reverse,0.999812
A0A063X781|A0A063XCP1:forward,0.999880
A0A063X781|A0A063XCP1:reverse,0.999905
A0A069PXX1|E2RXT8:forward,0.999917
A0A069PXX1|E2RXT8:reverse,0.999927
A0A069QC99|A0A072ZPV8:forward,0.999536
A0A069QC99|A0A072ZPV8:reverse,0.989101
A0A071L394|A0A241XG65:forward,0.999941
A0A071L394|A0A241XG65:reverse,0.999931
A0A072ZPV8|E2RXT0:forward,0.999678
A0A072ZPV8|E2RXT0:reverse,0.999476
A0A0B4J1S8|Q9H3P7:forward,0.992488
A0A0B4J1S8|Q9H3P7:reverse,0.891565
A0A0F6NFW5|A0A0M3KL13:forward,0.986517
A0A0F6NFW5|A0A0M3KL13:reverse,0.701220
A0A0F6NFW5|P09911:forward,0.003568
A0A0F6NFW5|P09911:reverse,0.000317
A0A0F6NFW5|P17227:forward,0.973733
A0A0F6NFW5|P17227:reverse,0.914189
A0A0F6NGI2|P09911:forward,0.027896
A0A0F6NGI2|P09911:reverse,0.007010
A0A0F6NGI2|Q32904:forward,0.999599
A0A0F6NGI2|Q32904:reverse,0.999856
A0A0G4FDJ8|A0A0G4FL36:forward,0.999487
A0A0G4FDJ8|A0A0G4FL36:reverse,0.998567
A0A0G4FDJ8|A0A0G4HMN0:forward,0.999465
A0A0G4FDJ8|A0A0G4HMN0:reverse,0.999471
A0A0G4FL36|A0A0G4HFQ7:forward,0.999153
A0A0G4FL36|A0A0G4HFQ7:reverse,0.999442
A0A0G4HFQ7|A0A0G4I0G6:forward,0.999158
A0A0G4HFQ7|A0A0G4I0G6:reverse,0.999507
A0A0H2UKZ4|P10793:forward,0.036792
A0A0H2UKZ4|P10793:reverse,0.642554
A0A0M3KL10|E1C9L1:forward,0.996873
A0A0M3KL10|E1C9L1:reverse,0.999408
A0A0M3KL10|E1C9L2:forward,0.987333
A0A0M3KL10|E1C9L2:reverse,0.997634
A0A0M3KL11|P17227:forward,0.825527
A0A0M3KL11|P17227:reverse,0.402662
A0A0M3KL13|E1C9K6:forward,0.054383
A0A0M3KL13|E1C9K6:reverse,0.121665
A0A0M3KL13|P05310:forward,0.593300
A0A0M3KL13|P05310:reverse,0.984143
A0A1D5SLI4|A0A3B6PK86:forward,0.999943
A0A1D5SLI4|A0A3B6PK86:reverse,0.999949
A0A1D5SLI4|A0A3B6RHV8:forward,0.999943
A0A1D5SLI4|A0A3B6RHV8:reverse,0.999950
A0A1D8NEL0|A0A1D8NGI5:forward,0.791716
A0A1D8NEL0|A0A1D8NGI5:reverse,0.982948
A0A1D8NGI5|Q6ZY23:forward,0.993161
A0A1D8NGI5|Q6ZY23:reverse,0.991617
A0A1S3X147|A0A1S3YEW3:forward,0.000325
A0A1S3X147|A0A1S3YEW3:reverse,0.002883
A0A1S3YEW3|A0A1S4CE74:forward,0.001037
A0A1S3YEW3|A0A1S4CE74:reverse,0.001071
A0A1S4CIZ9|P06269:forward,0.000071
A0A1S4CIZ9|P06269:reverse,0.000067
A0A1S4CKK0|P06269:forward,0.000079
A0A1S4CKK0|P06269:reverse,0.000068
A0A241XG65|E2RXT9:forward,0.999939
A0A241XG65|E2RXT9:reverse,0.999949
A0A287AEW0|Q06AT4:forward,0.999463
A0A287AEW0|Q06AT4:reverse,0.999710
A0A287AEW0|Q06AT5:forward,0.999227
A0A287AEW0|Q06AT5:reverse,0.999683
A0A287BAW0|A0A4X1TFI3:forward,0.998482
A0A287BAW0|A0A4X1TFI3:reverse,0.999277
A0A2I3BRC5|Q9Z266:forward,0.000071
A0A2I3BRC5|Q9Z266:reverse,0.000073
A0A2K1IAD0|A0A2K1JC42:forward,0.993164
A0A2K1IAD0|A0A2K1JC42:reverse,0.993980
A0A2K1IAD0|A0A2K1JDE1:forward,0.362550
A0A2K1IAD0|A0A2K1JDE1:reverse,0.993028
A0A2K1J0L9|A0A2K1K0C7:forward,0.999460
A0A2K1J0L9|A0A2K1K0C7:reverse,0.999207
A0A2K1J0L9|A0A2K1KN29:forward,0.998027
A0A2K1J0L9|A0A2K1KN29:reverse,0.996164
A0A2K1JC42|A0A2K1JDR4:forward,0.997860
A0A2K1JC42|A0A2K1JDR4:reverse,0.998544
A0A2K1JC42|A0A2K1JLZ3:forward,0.997870
A0A2K1JC42|A0A2K1JLZ3:reverse,0.992048
A0A2K1JC42|A0A2K1KN29:forward,0.998861
A0A2K1JC42|A0A2K1KN29:reverse,0.956258
A0A2K1JC42|Q6YXK4:forward,0.999641
A0A2K1JC42|Q6YXK4:reverse,0.531214
A0A2K1JDR4|A0A2K1JLW2:forward,0.997815
A0A2K1JDR4|A0A2K1JLW2:reverse,0.991018
A0A2K1JLW2|Q6YXK4:forward,0.998203
A0A2K1JLW2|Q6YXK4:reverse,0.972692
A0A2K1JLZ3|Q8MFA2:forward,0.999778
A0A2K1JLZ3|Q8MFA2:reverse,0.999559
A0A2K1K0C7|Q8MFA2:forward,0.999468
A0A2K1K0C7|Q8MFA2:reverse,0.999253
A0A2K1KN29|Q8MFA2:forward,0.998290
A0A2K1KN29|Q8MFA2:reverse,0.996409
A0A2K3CXW8|A0A2K3DG79:forward,0.022239
A0A2K3CXW8|A0A2K3DG79:reverse,0.014482
A0A2K3D591|Q9AU02:forward,0.559587
A0A2K3D591|Q9AU02:reverse,0.017702
A0A2K3DG79|A8IJ60:forward,0.130961
A0A2K3DG79|A8IJ60:reverse,0.551840
A0A2K3E6S5|P92276:forward,0.000545
A0A2K3E6S5|P92276:reverse,0.000154
A0A2R4KP93|P27487:forward,0.001591
A0A2R4KP93|P27487:reverse,0.965184
A0A2V3F2U6|E2RXT8:forward,0.999937
A0A2V3F2U6|E2RXT8:reverse,0.999941
