triplet_id	ac_id	A	C	D	pdb_assembly	positive_source	verified_bridge_same_assembly
SCF:0000001	AC:000002	P62805	Q96GM5	Q12432	9rl4-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000002	AC:000002	P62805	Q96GM5	C4R7L8	9rl4-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000003	AC:000004	Q980U8	Q97Z84	P57766	2izo-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000004	AC:000006	P33332	P38261	P89102	5yfp-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000005	AC:000006	P33332	P38261	P32855	5yfp-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000006	AC:000006	P33332	P38261	Q06245	5yfp-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000007	AC:000006	P38261	P33332	P22224	5yfp-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000008	AC:000006	P38261	P33332	P32855	5yfp-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000009	AC:000011	P63272	P62487	A0A4X1VKG7	8xrm-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000010	AC:000012	P20282	P21467	P12877	8cdu-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000011	AC:000012	P20282	P21467	P04969	8cdu-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000012	AC:000012	P21467	P20282	P21470	8cdu-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000013	AC:000012	P21467	P20282	P42060	8cdu-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000014	AC:000013	P59768	P41586	Q16602	6m1i-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000015	AC:000013	P59768	P41586	P28223	6m1i-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000016	AC:000013	P59768	P41586	Q9UPC5	6m1i-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000017	AC:000014	A8ITV3	P12154	P09144	7zq9-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000018	AC:000014	P12154	A8ITV3	Q75VY4	7zq9-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000019	AC:000014	P12154	A8ITV3	Q05093	7zq9-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000020	AC:000018	P60899	A0A8D1KNW4	A0A4X1VEK9	9rtt-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000021	AC:000018	P60899	A0A8D1KNW4	I3LCB2	9rtt-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000022	AC:000018	P60899	A0A8D1KNW4	A0A4X1VM56	9rtt-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000023	AC:000019	Q00403	Q92966	Q92759	7zxe-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000024	AC:000019	Q92966	Q00403	Q9HAW0	7zxe-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000025	AC:000021	A4VD75	I7M6H4	I7M9J2	8bx8-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000026	AC:000022	P21082	P20979	P20504	8rqk-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000027	AC:000022	P21082	P20979	P68439	8rqk-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000028	AC:000024	P26784	P36160	P38805	7oht-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000029	AC:000024	P26784	P36160	P26321	7oht-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000030	AC:000024	P26784	P36160	P40007	7oht-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000031	AC:000024	P36160	P26784	P0C0W9	7oht-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000032	AC:000028	Q24I09	W7XBF5	Q23S01	8b6g-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000033	AC:000029	Q9W0I7	P49735	Q9XYU1	6ray-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000034	AC:000029	Q9W0I7	P49735	Q9V461	6ray-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000035	AC:000029	Q9W0I7	P49735	Q9VGW6	6ray-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000036	AC:000032	C4R273	C4QY79	F2QPE6	8yfr-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000037	AC:000034	C3SQX2	C3SR57	P0A7R5	9sx2-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000038	AC:000034	C3SQX2	C3SR57	C3SQT7	9sx2-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000039	AC:000034	C3SQX2	C3SR57	P0AG59	9sx2-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000040	AC:000035	A0A4V8GZZ5	A0A4V8GZZ8	A0A4V8H006	6igz-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000041	AC:000036	O74499	P87173	O14352	6ppv-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000042	AC:000038	B6A879	B6A880	B6A878	9cbc-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000043	AC:000039	A0A9R0JF29	A0A9R0I5M6	A0A9R0J865	8xzv-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000044	AC:000041	P39744	P43586	Q02326	7r6k-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000045	AC:000041	P39744	P43586	P26784	7r6k-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000046	AC:000041	P43586	P39744	Q07896	7r6k-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000047	AC:000042	A0A2K3DG79	A8J353	A8INX1	7ekq-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000048	AC:000042	A0A2K3DG79	A8J353	A8IJ60	7ekq-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000049	AC:000042	A8J353	A0A2K3DG79	A8INX1	7ekq-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000050	AC:000044	Q9TM20	Q9TM22	Q9TM21	4yuu-assembly2.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000051	AC:000046	A0QVB8	A0R550	A0QSL6	8wif-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000052	AC:000046	A0QVB8	A0R550	A0QSP9	8wif-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000053	AC:000046	A0R550	A0QVB8	A0QSD7	8wif-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000054	AC:000048	Q2G111	Q2G2Q1	Q2G2Q4	8bh7-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000055	AC:000048	Q2G2Q1	Q2G111	Q2FW10	8bh7-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000056	AC:000049	P04637	P61218	P04908	6xre-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000057	AC:000049	P61218	P04637	O15446	6xre-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000058	AC:000050	P21471	P21476	P21473	8cdv-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000059	AC:000050	P21471	P21476	P21468	8cdv-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000060	AC:000050	P21471	P21476	P21472	8cdv-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000061	AC:000050	P21476	P21471	P12874	8cdv-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000062	AC:000051	P49005	P39748	Q15054	6tnz-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000063	AC:000052	Q13426	Q9NP87	Q9UGP5	9n81-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000064	AC:000052	Q13426	Q9NP87	Q8IW19	9n81-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000065	AC:000053	P07839	Q75VY9	P12356	7wzn-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000066	AC:000054	O43402	Q9NPA0	Q9P0I2	8j0o-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000067	AC:000055	E9NPS7	I0YQ46	I0YPL4	9kqp-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000068	AC:000055	E9NPS7	I0YQ46	I0Z687	9kqp-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000069	AC:000056	P29256	P09192	Q55274	8am5-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000070	AC:000057	C4R3Z5	C4R5R1	C4QZQ7	8yfq-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000071	AC:000057	C4R3Z5	C4R5R1	C4R370	8yfq-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000072	AC:000057	C4R3Z5	C4R5R1	F2QUC3	8yfq-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000073	AC:000058	O14810	P60880	P32851	3rl0-assembly5.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000074	AC:000058	P60880	O14810	P63041	3rl0-assembly5.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000075	AC:000063	O19882	O19928	Q9TM46	4yuu-assembly2.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000076	AC:000064	Q12464	P31376	Q03388	9b1e-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000077	AC:000068	O94646	O94376	O13964	5n9j-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000078	AC:000068	O94646	O94376	O14010	5n9j-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000079	AC:000070	Q9UKF6	Q969L4	P62318	6v4x-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000080	AC:000070	Q9UKF6	Q969L4	P62308	6v4x-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000081	AC:000074	G0RZG4	G0SCD1	G0SC21	8r1o-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000082	AC:000074	G0RZG4	G0SCD1	P0CT46	8r1o-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000083	AC:000074	G0SCD1	G0RZG4	G0S1P1	8r1o-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000084	AC:000077	A8IH07	A8IJY7	A8IL21	7ekq-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000085	AC:000077	A8IH07	A8IJY7	A8INX1	7ekq-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000086	AC:000077	A8IJY7	A8IH07	A8INX1	7ekq-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000087	AC:000078	P36121	P07703	P32910	8bws-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000088	AC:000079	P28000	P47076	P20435	7z31-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000089	AC:000081	I7MDA9	I7MLZ4	I7M6D6	8th8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000090	AC:000081	I7MDA9	I7MLZ4	Q229S1	8th8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000091	AC:000083	O19928	Q9TM46	Q9TM47	4yuu-assembly2.cif.gz	same_assembly_bridge	True
SCF:0000092	AC:000083	O19928	Q9TM46	O19895	4yuu-assembly2.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000093	AC:000085	Q23YW7	Q24CL2	Q24DJ0	8th8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000094	AC:000085	Q24CL2	Q23YW7	Q23S05	8th8-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000095	AC:000087	P20339	Q9P2Y5	Q15276	7bl1-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000096	AC:000089	P63272	P53803	A0A4X1TRS6	8xrm-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000097	AC:000091	O95456	P28070	P60900	8yix-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000098	AC:000091	O95456	P28070	P25788	8yix-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000099	AC:000091	O95456	P28070	O14818	8yix-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000100	AC:000091	P28070	O95456	P48556	8yix-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000101	AC:000091	P28070	O95456	O14818	8yix-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000102	AC:000094	P50990	Q99471	O15212	6nrd-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000103	AC:000094	Q99471	P50990	P49368	6nrd-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000104	AC:000094	Q99471	P50990	P40227	6nrd-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000105	AC:000095	C4QZ45	C4R7H2	C4QZQ7	7xn7-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000106	AC:000096	A0A1S3ZQT7	A0A1S3X2G3	A0A1S3YU01	8wa0-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000107	AC:000097	A0A4V8H005	A0A4V8GZZ7	A0A4V8GZZ9	6igz-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000108	AC:000097	A0A4V8H005	A0A4V8GZZ7	A0A4V8H001	6igz-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000109	AC:000099	P02309	P47128	P02293	8x2z-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000110	AC:000099	P47128	P02309	P61830	8x2z-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000111	AC:000099	P47128	P02309	Q12692	8x2z-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000112	AC:000100	G0RZG4	G0S1P1	G0SC21	8pel-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000113	AC:000103	Q2FZ25	Q2G113	Q2FW20	7kwg-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000114	AC:000107	P59768	P08913	P21728	7ej0-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000115	AC:000107	P59768	P08913	P28223	7ej0-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000116	AC:000107	P59768	P08913	P41143	7ej0-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000117	AC:000110	Q8DLL4	Q8DKZ4	Q8DL31	6l7o-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000118	AC:000111	D8V7I7	D7NIZ2	K0J903	6rdf-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000119	AC:000113	P50991	P61758	O15212	6nrb-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000120	AC:000113	P50991	P61758	Q9NQP4	6nrb-assembly1.cif.gz	same_assembly_bridge	True
SCF:0000121	AC:000114	P61201	Q9UBF6	P62877	9eg1-assembly1.cif.gz	PDB_exact_pair_aggregate	False
SCF:0000122	AC:000114	Q9UBF6	P61201	Q9UNS2	9eg1-assembly1.cif.gz	same_assembly_bridge	True
